"gamename,""year"",""month"",""avg"",""gain"",""peak"",""avg_peak_perc"""
"Rust,""2021"",""February "",117742.27,-24374.98,224276,""52.4988%"""
"Rust,""2021"",""January "",142117.25,80945.6,244394,""58.1509%"""
"Rust,""2020"",""December "",61171.65,5763.61,97445,""62.7756%"""
"Rust,""2020"",""November "",55408.03,6857.23,101365,""54.6619%"""
"Rust,""2020"",""October "",48550.8,2120.27,80422,""60.37%"""
"Rust,""2020"",""September "",46430.53,-6857.11,76611,""60.6056%"""
"Rust,""2020"",""August "",53287.65,-4951.07,89147,""59.775%"""
"Rust,""2020"",""July "",58238.72,7821,97741,""59.5847%"""
"Rust,""2020"",""June "",50417.72,-6926.93,93513,""53.9152%"""
"Rust,""2020"",""May "",57344.65,-10159.4,102051,""56.1921%"""
"Rust,""2020"",""April "",67504.05,9062.03,125415,""53.8245%"""
"Rust,""2020"",""March "",58442.03,8366.82,102296,""57.1303%"""
"Rust,""2020"",""February "",50075.2,-1545.19,92016,""54.4201%"""
"Rust,""2020"",""January "",51620.39,2525.55,97340,""53.031%"""
"Rust,""2019"",""December "",49094.84,5586.88,81928,""59.9244%"""
"Rust,""2019"",""November "",43507.96,-3196.42,74292,""58.5635%"""
"Rust,""2019"",""October "",46704.38,-2931.73,82827,""56.3879%"""
"Rust,""2019"",""September "",49636.12,-8895.12,80293,""61.8187%"""
"Rust,""2019"",""August "",58531.24,-3728.72,88929,""65.8179%"""
"Rust,""2019"",""July "",62259.96,17127.39,93595,""66.5206%"""
"Rust,""2019"",""June "",45132.57,9351.9,81658,""55.2702%"""
"Rust,""2019"",""May "",35780.66,-2420.12,67338,""53.1359%"""
"Rust,""2019"",""April "",38200.78,-2524.51,72544,""52.6588%"""
"Rust,""2019"",""March "",40725.29,-1706.13,77896,""52.2816%"""
"Rust,""2019"",""February "",42431.42,-3769.88,77622,""54.6642%"""
"Rust,""2019"",""January "",46201.3,3579.02,85208,""54.2218%"""
"Rust,""2018"",""December "",42622.28,4915.93,70775,""60.2222%"""
"Rust,""2018"",""November "",37706.36,5886.14,70969,""53.1307%"""
"Rust,""2018"",""October "",31820.22,4501.02,58564,""54.3341%"""
"Rust,""2018"",""September "",27319.2,-4169.08,48430,""56.4097%"""
