"gamename,""year"",""month"",""avg"",""gain"",""peak"",""avg_peak_perc"""
"Tom Clancy's Rainbow Six Siege,""2021"",""February "",72382.76,-5334.66,113338,""63.8645%"""
"Tom Clancy's Rainbow Six Siege,""2021"",""January "",77717.42,6995.92,123637,""62.8594%"""
"Tom Clancy's Rainbow Six Siege,""2020"",""December "",70721.5,15414.04,123374,""57.3229%"""
"Tom Clancy's Rainbow Six Siege,""2020"",""November "",55307.46,-7648.75,94968,""58.238%"""
"Tom Clancy's Rainbow Six Siege,""2020"",""October "",62956.21,-12587.13,114281,""55.089%"""
"Tom Clancy's Rainbow Six Siege,""2020"",""September "",75543.34,7338.09,163478,""46.2101%"""
"Tom Clancy's Rainbow Six Siege,""2020"",""August "",68205.26,-8073.94,127249,""53.5998%"""
"Tom Clancy's Rainbow Six Siege,""2020"",""July "",76279.2,6078.69,122438,""62.3003%"""
"Tom Clancy's Rainbow Six Siege,""2020"",""June "",70200.51,-9898.8,126733,""55.3924%"""
"Tom Clancy's Rainbow Six Siege,""2020"",""May "",80099.3,-28415.26,146359,""54.728%"""
"Tom Clancy's Rainbow Six Siege,""2020"",""April "",108514.57,-11363.31,194102,""55.906%"""
"Tom Clancy's Rainbow Six Siege,""2020"",""March "",119877.88,22210.54,198567,""60.3715%"""
"Tom Clancy's Rainbow Six Siege,""2020"",""February "",97667.34,3481.55,178824,""54.6165%"""
"Tom Clancy's Rainbow Six Siege,""2020"",""January "",94185.78,15957.06,157948,""59.6309%"""
"Tom Clancy's Rainbow Six Siege,""2019"",""December "",78228.73,11729.45,138681,""56.4091%"""
"Tom Clancy's Rainbow Six Siege,""2019"",""November "",66499.28,866.8,123848,""53.6943%"""
"Tom Clancy's Rainbow Six Siege,""2019"",""October "",65632.48,-12290.28,125590,""52.2593%"""
"Tom Clancy's Rainbow Six Siege,""2019"",""September "",77922.76,3966.48,148365,""52.521%"""
"Tom Clancy's Rainbow Six Siege,""2019"",""August "",73956.28,-3454.79,138827,""53.2723%"""
"Tom Clancy's Rainbow Six Siege,""2019"",""July "",77411.07,-648.27,128458,""60.2618%"""
"Tom Clancy's Rainbow Six Siege,""2019"",""June "",78059.34,18887.25,140274,""55.6478%"""
"Tom Clancy's Rainbow Six Siege,""2019"",""May "",59172.09,-2179.37,115381,""51.2841%"""
"Tom Clancy's Rainbow Six Siege,""2019"",""April "",61351.45,-8236.56,124989,""49.0855%"""
"Tom Clancy's Rainbow Six Siege,""2019"",""March "",69588.02,-3409.64,134776,""51.6324%"""
"Tom Clancy's Rainbow Six Siege,""2019"",""February "",72997.66,-6178.1,136018,""53.6676%"""
"Tom Clancy's Rainbow Six Siege,""2019"",""January "",79175.76,8310.43,137434,""57.61%"""
"Tom Clancy's Rainbow Six Siege,""2018"",""December "",70865.32,12962.39,129558,""54.6978%"""
"Tom Clancy's Rainbow Six Siege,""2018"",""November "",57902.93,-4525.71,115820,""49.9939%"""
"Tom Clancy's Rainbow Six Siege,""2018"",""October "",62428.64,-11248.23,123794,""50.4295%"""
"Tom Clancy's Rainbow Six Siege,""2018"",""September "",73676.87,-139.52,143866,""51.2121%"""
"Tom Clancy's Rainbow Six Siege,""2018"",""August "",73816.38,5575.38,134159,""55.0216%"""
"Tom Clancy's Rainbow Six Siege,""2018"",""July "",68241,1864.2,116054,""58.8011%"""
"Tom Clancy's Rainbow Six Siege,""2018"",""June "",66376.81,3283.99,141630,""46.8663%"""
"Tom Clancy's Rainbow Six Siege,""2018"",""May "",63092.81,-1170.62,142362,""44.3186%"""
"Tom Clancy's Rainbow Six Siege,""2018"",""April "",64263.44,-18848.85,124813,""51.4878%"""
"Tom Clancy's Rainbow Six Siege,""2018"",""March "",83112.29,14316.05,176208,""47.1671%"""
"Tom Clancy's Rainbow Six Siege,""2018"",""February "",68796.24,5321.42,125133,""54.9785%"""
"Tom Clancy's Rainbow Six Siege,""2018"",""January "",63474.82,4063.16,109103,""58.1788%"""
"Tom Clancy's Rainbow Six Siege,""2017"",""December "",59411.66,17927.99,100433,""59.1555%"""
"Tom Clancy's Rainbow Six Siege,""2017"",""November "",41483.67,9864.86,99110,""41.8562%"""
"Tom Clancy's Rainbow Six Siege,""2017"",""October "",31618.81,-4830.06,59895,""52.7904%"""
"Tom Clancy's Rainbow Six Siege,""2017"",""September "",36448.87,2525.69,69988,""52.0787%"""
"Tom Clancy's Rainbow Six Siege,""2017"",""August "",33923.18,5544.54,73641,""46.0656%"""
"Tom Clancy's Rainbow Six Siege,""2017"",""July "",28378.64,4294.92,47328,""59.9616%"""
"Tom Clancy's Rainbow Six Siege,""2017"",""June "",24083.72,279.65,43057,""55.9345%"""
"Tom Clancy's Rainbow Six Siege,""2017"",""May "",23804.07,-1171.88,43606,""54.589%"""
"Tom Clancy's Rainbow Six Siege,""2017"",""April "",24975.95,-1103.68,47040,""53.0951%"""
"Tom Clancy's Rainbow Six Siege,""2017"",""March "",26079.63,-4488.63,47994,""54.3394%"""
"Tom Clancy's Rainbow Six Siege,""2017"",""February "",30568.27,9861.56,65189,""46.8918%"""
"Tom Clancy's Rainbow Six Siege,""2017"",""January "",20706.7,3529.83,34616,""59.8183%"""
"Tom Clancy's Rainbow Six Siege,""2016"",""December "",17176.87,1821.38,30859,""55.6624%"""
"Tom Clancy's Rainbow Six Siege,""2016"",""November "",15355.49,4763.56,42265,""36.3315%"""
"Tom Clancy's Rainbow Six Siege,""2016"",""October "",10591.93,180.24,19467,""54.4097%"""
"Tom Clancy's Rainbow Six Siege,""2016"",""September "",10411.69,-3559.54,18099,""57.5263%"""
"Tom Clancy's Rainbow Six Siege,""2016"",""August "",13971.23,3116.99,32084,""43.5458%"""
"Tom Clancy's Rainbow Six Siege,""2016"",""July "",10854.23,1851.49,39382,""27.5614%"""
"Tom Clancy's Rainbow Six Siege,""2016"",""June "",9002.74,1933.04,15295,""58.8607%"""
"Tom Clancy's Rainbow Six Siege,""2016"",""May "",7069.7,-573.86,14447,""48.9354%"""
"Tom Clancy's Rainbow Six Siege,""2016"",""April "",7643.56,1518.1,29170,""26.2035%"""
"Tom Clancy's Rainbow Six Siege,""2016"",""March "",6125.46,-3138.02,11234,""54.5261%"""
"Tom Clancy's Rainbow Six Siege,""2016"",""February "",9263.47,-980.81,16044,""57.7379%"""
"Tom Clancy's Rainbow Six Siege,""2016"",""January "",10244.29,2302.84,20006,""51.2061%"""
