"gamename,""year"",""month"",""avg"",""gain"",""peak"",""avg_peak_perc"""
"Fallout 4,""2021"",""February "",13773.15,-1310.79,21274,""64.7417%"""
"Fallout 4,""2021"",""January "",15083.94,624.58,23877,""63.1735%"""
"Fallout 4,""2020"",""December "",14459.36,-2155.76,23305,""62.044%"""
"Fallout 4,""2020"",""November "",16615.12,1557.54,26621,""62.4136%"""
"Fallout 4,""2020"",""October "",15057.58,2185.37,29702,""50.6955%"""
"Fallout 4,""2020"",""September "",12872.22,-2344.57,19804,""64.9981%"""
"Fallout 4,""2020"",""August "",15216.79,68.44,24206,""62.8637%"""
"Fallout 4,""2020"",""July "",15148.35,2224.21,23204,""65.2834%"""
"Fallout 4,""2020"",""June "",12924.14,-2211.93,20948,""61.6963%"""
"Fallout 4,""2020"",""May "",15136.06,-850.47,23912,""63.299%"""
"Fallout 4,""2020"",""April "",15986.54,1641.31,24455,""65.3713%"""
"Fallout 4,""2020"",""March "",14345.23,554.6,24354,""58.903%"""
"Fallout 4,""2020"",""February "",13790.63,-585.88,21988,""62.7189%"""
"Fallout 4,""2020"",""January "",14376.51,397.28,23023,""62.4441%"""
"Fallout 4,""2019"",""December "",13979.23,975.08,23706,""58.9692%"""
"Fallout 4,""2019"",""November "",13004.15,868.08,22661,""57.3856%"""
"Fallout 4,""2019"",""October "",12136.07,167.63,23275,""52.1421%"""
"Fallout 4,""2019"",""September "",11968.44,-2829.04,20097,""59.5534%"""
"Fallout 4,""2019"",""August "",14797.48,779.22,24918,""59.3847%"""
"Fallout 4,""2019"",""July "",14018.26,1076.63,25568,""54.8274%"""
"Fallout 4,""2019"",""June "",12941.63,1708.32,20831,""62.1268%"""
"Fallout 4,""2019"",""May "",11233.31,922.75,19712,""56.9872%"""
"Fallout 4,""2019"",""April "",10310.56,-1289.1,17822,""57.853%"""
"Fallout 4,""2019"",""March "",11599.67,-401.55,19879,""58.3514%"""
"Fallout 4,""2019"",""February "",12001.22,-2081.48,20610,""58.2301%"""
"Fallout 4,""2019"",""January "",14082.69,-2888.44,25206,""55.8704%"""
"Fallout 4,""2018"",""December "",16971.13,-1962.75,31485,""53.9023%"""
"Fallout 4,""2018"",""November "",18933.89,380.77,33389,""56.707%"""
"Fallout 4,""2018"",""October "",18553.12,1974.11,36389,""50.9855%"""
"Fallout 4,""2018"",""September "",16579.01,-2212.24,28436,""58.3029%"""
"Fallout 4,""2018"",""August "",18791.24,-4679.1,32239,""58.2873%"""
"Fallout 4,""2018"",""July "",23470.34,-2051.52,43476,""53.9846%"""
"Fallout 4,""2018"",""June "",25521.86,10460.64,47573,""53.6478%"""
"Fallout 4,""2018"",""May "",15061.22,85.03,25653,""58.7113%"""
"Fallout 4,""2018"",""April "",14976.19,-2171.35,26203,""57.1545%"""
"Fallout 4,""2018"",""March "",17147.54,-4444.92,30503,""56.2159%"""
"Fallout 4,""2018"",""February "",21592.46,743.62,45111,""47.8652%"""
"Fallout 4,""2018"",""January "",20848.84,846.59,37190,""56.0603%"""
"Fallout 4,""2017"",""December "",20002.25,1634.64,34512,""57.9574%"""
"Fallout 4,""2017"",""November "",18367.61,-351.39,33736,""54.4451%"""
"Fallout 4,""2017"",""October "",18719,474.71,35886,""52.1624%"""
"Fallout 4,""2017"",""September "",18244.29,-504.18,31836,""57.3071%"""
"Fallout 4,""2017"",""August "",18748.47,-2943.63,32696,""57.3418%"""
"Fallout 4,""2017"",""July "",21692.1,-90.74,36800,""58.9459%"""
"Fallout 4,""2017"",""June "",21782.84,2846.72,38111,""57.1563%"""
"Fallout 4,""2017"",""May "",18936.13,2089.22,49675,""38.12%"""
"Fallout 4,""2017"",""April "",16846.91,-51.99,29010,""58.0728%"""
"Fallout 4,""2017"",""March "",16898.9,-2674.97,31843,""53.0694%"""
"Fallout 4,""2017"",""February "",19573.86,-3236.02,34587,""56.5931%"""
"Fallout 4,""2017"",""January "",22809.88,1751.13,41471,""55.002%"""
"Fallout 4,""2016"",""December "",21058.75,1360.35,37794,""55.7198%"""
"Fallout 4,""2016"",""November "",19698.4,-1087.6,40096,""49.1281%"""
"Fallout 4,""2016"",""October "",20786.01,-3608.11,39948,""52.0327%"""
"Fallout 4,""2016"",""September "",24394.12,735.91,48954,""49.8307%"""
"Fallout 4,""2016"",""August "",23658.21,-699.12,45998,""51.4331%"""
"Fallout 4,""2016"",""July "",24357.33,-874.69,41541,""58.6344%"""
"Fallout 4,""2016"",""June "",25232.02,-4294.38,45855,""55.0257%"""
"Fallout 4,""2016"",""May "",29526.4,2964.83,74283,""39.7485%"""
"Fallout 4,""2016"",""April "",26561.57,-1964.9,52480,""50.6127%"""
"Fallout 4,""2016"",""March "",28526.47,-4206.69,57102,""49.957%"""
"Fallout 4,""2016"",""February "",32733.17,-22093.3,61739,""53.0186%"""
"Fallout 4,""2016"",""January "",54826.47,-39309.9,119272,""45.9676%"""
"Fallout 4,""2015"",""December "",94136.37,-132161.46,201635,""46.6865%"""
"Fallout 4,""2015"",""November "",226297.83,NA,471955,""47.949%"""
