                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93023,                 2.4768,                 1.3478,                0.50468,                0.69027,                0.63307,                0.49035,                0.77989,                 5.1308,                 1.2407,               0.000325,               0.000325,               0.000325
                      2,                 1.2294,                 1.9694,                 1.5104,                0.10416,                0.38143,                0.11564,                0.04972,                 2.0643,                 42.562,                 4.1643,             0.00065594,             0.00065594,             0.00065594
                      3,                 1.3283,                 2.1449,                 1.6242,                0.57398,                0.24524,                0.09227,                 0.0434,                  2.038,                 89.437,                  4.061,              0.0009802,              0.0009802,              0.0009802
                      4,                 1.4512,                 2.2125,                  1.692,                0.04287,                0.11204,                0.03846,                0.02046,                 3.3868,                 20.684,                 5.5548,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.5331,                 2.3105,                 1.7418,                0.01335,                 0.3098,                0.02156,                 0.0099,                 2.6842,                 257.36,                  5.959,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.4227,                 2.2097,                 1.6584,                0.05539,                0.18409,                0.03346,                0.01249,                 2.5159,                 9.6074,                 3.9155,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.4767,                 2.1717,                 1.6597,                0.08214,                0.26496,                0.09291,                0.02954,                 3.2116,                 276.19,                 8.7588,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.3932,                 1.9519,                 1.5717,                0.34924,                 0.2854,                0.23665,                0.11664,                 1.9168,                 9.8035,                 2.5869,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.3915,                 1.9113,                 1.5959,                0.24099,                0.20227,                 0.1253,                0.06051,                 2.0462,                 4.3014,                 2.5075,               0.001151,               0.001151,               0.001151
                     10,                 1.3698,                 1.8816,                  1.585,                0.30255,                0.47552,                0.40355,                0.27551,                 1.2583,                 3.5028,                 1.7495,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.3114,                  1.858,                 1.5443,                0.48202,                 0.4386,                0.38923,                 0.2467,                 1.3185,                  2.547,                 1.7594,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.2313,                 1.7613,                 1.4707,                0.36061,                 0.4235,                0.33173,                0.21483,                 1.6674,                 3.2123,                 2.2916,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.2322,                 1.7497,                 1.4976,                0.36799,                0.43314,                0.44347,                0.30989,                 1.2761,                 1.9849,                 1.6963,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.2208,                  1.719,                 1.4642,                0.47678,                0.52789,                0.52379,                0.35059,                 1.1611,                  1.808,                 1.5926,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.2654,                 1.6773,                 1.4883,                0.48029,                0.56305,                0.52535,                0.30577,                 1.3642,                 2.0305,                 1.7632,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.1709,                 1.5526,                 1.4055,                0.45905,                0.64351,                 0.5875,                0.41423,                 1.1001,                 1.7499,                 1.4986,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.1391,                 1.5187,                 1.4083,                0.44894,                0.61427,                0.53202,                0.35156,                 1.3848,                 1.9748,                 1.7633,               0.001052,               0.001052,               0.001052
                     18,                 1.1495,                 1.4973,                 1.4091,                0.57464,                0.57639,                0.54265,                  0.373,                  1.121,                 1.8671,                 1.5404,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.0837,                 1.4417,                 1.3775,                0.48225,                0.62771,                0.58159,                0.42473,                 1.0462,                 1.5453,                 1.4532,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.1338,                 1.5212,                 1.3964,                0.44112,                0.64633,                0.57171,                 0.4075,                 1.0798,                 1.6018,                 1.4745,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.0947,                 1.4151,                 1.3642,                0.58453,                 0.6763,                0.65044,                0.47658,                 1.0299,                 1.2716,                 1.4488,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.0404,                 1.3055,                 1.3209,                0.50976,                0.59444,                0.54527,                0.37363,                 1.1756,                   1.68,                 1.6105,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.1406,                 1.4487,                 1.3878,                0.50903,                0.62317,                0.58513,                0.40151,                 1.1434,                 1.7383,                  1.503,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.0268,                 1.3506,                 1.3236,                0.57539,                0.75093,                0.72053,                0.53854,                 1.0071,                 1.1056,                 1.4114,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.0285,                 1.3098,                 1.3264,                0.47085,                0.61199,                0.56067,                0.38713,                 1.2061,                 1.5757,                 1.6065,               0.000953,               0.000953,               0.000953
                     26,                0.95764,                 1.2646,                 1.2808,                0.55304,                0.71562,                0.68152,                0.49208,                0.98535,                 1.2799,                 1.3893,             0.00094062,             0.00094062,             0.00094062
                     27,                0.97956,                 1.2637,                 1.2776,                0.59228,                0.70692,                0.65787,                0.47889,                 1.0634,                 1.4645,                  1.418,             0.00092825,             0.00092825,             0.00092825
                     28,                0.96612,                 1.1848,                 1.2836,                0.54116,                0.73993,                 0.6917,                0.51667,                0.88856,                 1.2335,                 1.3162,             0.00091588,             0.00091588,             0.00091588
                     29,                0.99631,                 1.2318,                 1.3087,                0.73178,                0.59664,                 0.6594,                0.50156,                0.87652,                  1.122,                 1.3058,              0.0009035,              0.0009035,              0.0009035
                     30,                0.99686,                 1.2291,                 1.2852,                0.55375,                0.60396,                0.61195,                0.45259,                   1.04,                 1.4442,                 1.4318,             0.00089112,             0.00089112,             0.00089112
                     31,                0.94042,                 1.2029,                 1.2754,                0.68501,                0.68358,                0.70626,                0.49143,                0.99127,                 1.1991,                 1.3725,             0.00087875,             0.00087875,             0.00087875
                     32,                0.92303,                 1.1114,                 1.2569,                0.71402,                0.74581,                0.71941,                 0.5793,                0.81733,                0.95886,                 1.1997,             0.00086637,             0.00086637,             0.00086637
                     33,                0.92762,                 1.1349,                 1.2511,                0.62408,                 0.7495,                0.72051,                0.59099,                0.82182,                 1.0478,                  1.234,               0.000854,               0.000854,               0.000854
                     34,                 0.9326,                 1.1867,                 1.2474,                0.80621,                0.69423,                0.78387,                 0.6303,                0.84439,                0.95115,                  1.234,             0.00084162,             0.00084162,             0.00084162
                     35,                0.87663,                 1.0498,                  1.223,                0.69401,                0.76489,                0.79013,                0.63913,                 0.8294,                0.94156,                 1.2312,             0.00082925,             0.00082925,             0.00082925
                     36,                0.89944,                 1.1187,                 1.2314,                0.67647,                0.76695,                0.76908,                0.59871,                0.80571,                0.96079,                 1.2011,             0.00081688,             0.00081688,             0.00081688
                     37,                0.88404,                 1.0247,                 1.2218,                0.66697,                0.73625,                0.73353,                0.54751,                0.93236,                 1.5563,                 1.3088,              0.0008045,              0.0008045,              0.0008045
                     38,                0.86753,                  1.022,                 1.2262,                0.76843,                0.79312,                0.82966,                0.66664,                0.75253,                0.89591,                 1.1505,             0.00079213,             0.00079213,             0.00079213
                     39,                0.89911,                  1.012,                 1.2379,                0.88526,                0.70382,                0.86431,                0.66781,                0.84222,                0.80518,                 1.2355,             0.00077975,             0.00077975,             0.00077975
                     40,                0.85979,                 1.0305,                   1.22,                0.88931,                0.74696,                0.88423,                0.69221,                0.82501,                0.80879,                 1.2012,             0.00076738,             0.00076738,             0.00076738
                     41,                 0.8261,                0.90754,                 1.1809,                0.75219,                 0.7226,                0.83886,                0.65527,                0.84342,                 0.9773,                 1.1969,               0.000755,               0.000755,               0.000755
                     42,                0.84058,                0.94179,                 1.1762,                0.72076,                0.83321,                0.87279,                0.69528,                0.79636,                0.96257,                 1.1687,             0.00074263,             0.00074263,             0.00074263
                     43,                0.89219,                  1.014,                 1.2217,                0.78951,                0.79931,                0.86376,                 0.6948,                0.78298,                0.80771,                  1.191,             0.00073025,             0.00073025,             0.00073025
                     44,                0.84634,                0.93143,                 1.2077,                0.72698,                0.77574,                0.82902,                0.64097,                0.74739,                0.94519,                 1.1404,             0.00071788,             0.00071788,             0.00071788
                     45,                0.85264,                0.93528,                 1.1874,                0.72669,                0.80266,                0.86248,                0.68777,                0.74597,                0.84466,                 1.1653,              0.0007055,              0.0007055,              0.0007055
                     46,                0.86306,                0.92474,                  1.203,                0.75886,                0.75182,                0.82927,                0.66943,                0.77445,                  0.863,                 1.1741,             0.00069313,             0.00069313,             0.00069313
                     47,                0.86446,                0.99381,                 1.2235,                0.82007,                0.74137,                0.86359,                0.72911,                 0.6884,                 0.8311,                 1.1114,             0.00068075,             0.00068075,             0.00068075
                     48,                0.81129,                0.91022,                 1.1736,                0.76565,                0.69794,                0.82631,                0.67885,                0.76948,                0.97118,                 1.2064,             0.00066838,             0.00066838,             0.00066838
