                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97924,                 2.5483,                 1.3305,                0.60641,                0.65274,                0.65782,                0.48665,                0.80804,                 3.5268,                 1.2861,               0.000325,               0.000325,               0.000325
                      2,                 1.0494,                 1.6799,                 1.3491,                0.32297,                0.43621,                0.34046,                0.13595,                 1.7671,                 4.8739,                 2.2426,             0.00065594,             0.00065594,             0.00065594
                      3,                 1.1197,                 1.7173,                 1.4175,                0.37317,                0.36849,                0.25644,                0.11836,                 1.9117,                 12.537,                 3.0259,              0.0009802,              0.0009802,              0.0009802
                      4,                 1.2579,                 1.8226,                 1.5104,                0.23287,                0.41089,                0.24465,                0.12627,                 1.7085,                 8.7328,                 2.5818,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.3362,                 1.7813,                 1.5403,                0.57552,                0.31775,                0.34888,                0.15181,                 1.9952,                 4.8972,                 3.5857,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.1995,                 1.7098,                 1.4535,                0.47057,                0.38229,                0.28564,                 0.1485,                 1.5627,                 3.2896,                 2.1559,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.2607,                 1.7819,                 1.4855,                0.33376,                0.41533,                0.34121,                0.17567,                 1.7964,                 2.8849,                 2.2654,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.2158,                 1.6364,                 1.4422,                0.43606,                0.47507,                0.42014,                0.26919,                  1.635,                 2.3452,                 2.1384,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.1888,                 1.5624,                 1.4629,                0.45528,                0.44428,                0.42649,                 0.2717,                 1.5452,                 2.9442,                  1.994,               0.001151,               0.001151,               0.001151
                     10,                 1.2089,                 1.5412,                 1.4506,                0.37051,                0.62341,                0.50108,                0.30227,                  1.303,                 2.0525,                  1.783,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.1709,                 1.4924,                 1.4541,                0.56472,                0.49829,                0.57926,                0.38657,                  1.304,                 1.6817,                 1.6864,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.0958,                 1.4465,                 1.3615,                0.38626,                0.62997,                0.52683,                0.32698,                 1.3095,                 2.6217,                 1.7577,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.0747,                 1.3929,                 1.3596,                0.68243,                0.55254,                0.63661,                 0.4182,                 1.1898,                 1.7513,                 1.5586,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.1334,                 1.3974,                 1.3823,                0.63932,                0.65455,                0.69224,                0.48348,                 1.1572,                 1.5432,                 1.4997,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.0608,                 1.3387,                 1.3629,                0.66963,                0.59099,                0.67152,                0.44022,                 1.1772,                 1.8541,                 1.6043,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.0739,                 1.2556,                 1.3396,                0.58972,                0.65131,                0.68902,                0.47522,                 1.0379,                 1.5967,                 1.4165,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.0411,                 1.2362,                 1.3139,                0.68764,                0.60643,                0.71887,                0.48002,                  1.112,                 1.5906,                 1.4645,               0.001052,               0.001052,               0.001052
                     18,                 1.0295,                 1.2284,                 1.3111,                 0.6274,                0.62583,                0.66842,                0.50089,                 1.0236,                 1.4189,                  1.409,              0.0010396,              0.0010396,              0.0010396
                     19,                0.99037,                  1.175,                 1.3155,                0.64794,                0.62557,                0.65523,                0.43282,                    1.3,                 1.3872,                  1.706,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.0077,                 1.2365,                 1.3038,                0.78568,                0.71164,                0.80285,                  0.579,                0.96773,                 1.1042,                 1.3614,              0.0010149,              0.0010149,              0.0010149
                     21,                      1,                 1.1672,                 1.3041,                0.70073,                0.57122,                0.66539,                0.42107,                 1.2957,                 1.9498,                 1.5989,              0.0010025,              0.0010025,              0.0010025
                     22,                0.91022,                 1.0371,                 1.2283,                 0.7894,                0.76638,                0.82287,                0.63189,                 0.9101,                0.99913,                 1.2893,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.0182,                  1.125,                 1.2933,                 0.7522,                0.70219,                0.76261,                0.58631,                0.87498,                 1.4069,                 1.2802,             0.00097775,             0.00097775,             0.00097775
                     24,                0.98402,                 1.1565,                  1.269,                0.80192,                0.78181,                0.87119,                0.65471,                0.90258,                 0.9021,                 1.2682,             0.00096537,             0.00096537,             0.00096537
                     25,                0.92701,                 1.0441,                 1.2522,                0.74942,                0.76854,                0.82352,                0.62552,                0.89652,                0.93964,                 1.2954,               0.000953,               0.000953,               0.000953
                     26,                0.90939,                 1.0186,                 1.2377,                0.79522,                0.78202,                0.85948,                0.66491,                0.83226,                0.85538,                 1.2121,             0.00094062,             0.00094062,             0.00094062
                     27,                0.89098,                0.99985,                 1.2181,                 0.8017,                0.75733,                0.83813,                0.59869,                0.95909,                 1.0456,                  1.337,             0.00092825,             0.00092825,             0.00092825
                     28,                0.88267,                 1.0132,                 1.2196,                0.85527,                0.72329,                0.84769,                0.63616,                0.84967,                0.92793,                 1.2536,             0.00091588,             0.00091588,             0.00091588
                     29,                0.85628,                0.98153,                 1.2186,                0.83589,                0.78522,                0.89893,                0.68953,                0.83374,                0.78873,                 1.2289,              0.0009035,              0.0009035,              0.0009035
                     30,                0.86757,                0.95937,                  1.216,                0.80522,                0.85091,                0.89177,                0.69089,                0.80626,                0.76812,                 1.2076,             0.00089112,             0.00089112,             0.00089112
                     31,                0.85695,                0.95392,                 1.2107,                0.72864,                0.72461,                0.80109,                0.61352,                0.89911,                 1.1812,                 1.2664,             0.00087875,             0.00087875,             0.00087875
                     32,                0.84764,                0.89044,                  1.205,                0.80169,                0.71154,                0.83442,                 0.6328,                0.91193,                 1.0492,                 1.3172,             0.00086637,             0.00086637,             0.00086637
                     33,                0.83927,                0.91291,                 1.1921,                0.83293,                0.82658,                0.88627,                0.69658,                0.80602,                0.79961,                 1.1625,               0.000854,               0.000854,               0.000854
                     34,                0.85519,                0.91472,                 1.1826,                0.81932,                 0.7337,                0.83491,                0.64976,                0.81876,                0.96394,                 1.1849,             0.00084162,             0.00084162,             0.00084162
                     35,                0.84084,                0.81351,                 1.1874,                0.85991,                0.82444,                0.88995,                0.69263,                 0.8385,                0.86061,                  1.193,             0.00082925,             0.00082925,             0.00082925
                     36,                0.84203,                0.88857,                 1.1838,                0.75901,                0.73675,                0.83204,                0.64533,                0.83768,                0.93859,                 1.2181,             0.00081688,             0.00081688,             0.00081688
                     37,                0.85758,                0.86614,                 1.1958,                0.80457,                0.77847,                0.87427,                0.67715,                0.80269,                0.90308,                 1.1878,              0.0008045,              0.0008045,              0.0008045
                     38,                0.80922,                 0.8228,                 1.1907,                0.88291,                0.80522,                0.90112,                0.73014,                 0.7422,                0.68755,                 1.1618,             0.00079213,             0.00079213,             0.00079213
                     39,                0.84389,                0.81671,                 1.1847,                 0.8697,                0.86719,                0.91932,                0.76535,                0.71249,                0.65193,                 1.1247,             0.00077975,             0.00077975,             0.00077975
